HANDLE,CITYBLOCK,PARCELID,ADDRTYPE,OWNERNAME,LEGALDESC1,LEGALDESC2,LEGALDESC3,LEGALDESC4,ASRLANDUSE,VACANTLOT,CONDOMINIU,NBROFUNITS,NBROFAPTS,FRONTAGE,LANDAREA,ASDLAND,ASDTOTAL,APRLAND,COSTAPRIMP,ZONING,NBROFBLDGS,NBROFBLD_1,FIRSTYEARB,LASTYEARBU,RESSALEPRI,RESSALEDAT,VACBLDGYEA,WARD10,POLICEDIST,CENSTRACT1,CENSBLOCK1,PRECINCT90,ZIP,PARCEL9,OWNERUPDAT,ADDRESS,Y,X,NEIGHBORHO,WARD,DESCRIPTIO,USAGE,LOT_SQFT
13837000300.00,3837.00,38370003000.00,3,LRA,C. B. 3837 WELLS AVE,140 FT X 233 FT 6 IN,ROSE HILL ADDN,BLOCK 5 LOT W-14 & E-13,5000.00,0.00,0.00,0.00,0.00,0.00,32690.00,11000.00,31900.00,34300.00,65400.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,22.00,7.00,1061.00,3002.00,9.00,63112.00,383700300,3/25/13 0:00,5947 WELLS AV,38.6735480,-90.2845860,Hamilton Heights,22.00,,vacant lot,31642.00
13837000290.00,3837.00,38370002900.00,3,LRA,C. B. 3837 WELLS AVE,110 FT X 233 FT 6 IN,ROSE HILL ADDN,LOT 15 & E-14,5000.00,0.00,0.00,0.00,0.00,0.00,25685.00,8600.00,8600.00,27000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,22.00,7.00,1061.00,3002.00,9.00,63112.00,383700290,3/25/13 0:00,5937 WELLS AV,38.6733520,-90.2842230,Hamilton Heights,22.00,,vacant lot,24233.00
12381000070.00,2381.00,23810000700.00,3,LRA,C. B. 2381 GRAND,102 FT X 225 FT 10 IN,PAGES M-P ADDN,LOT S-3,5000.00,1.00,0.00,0.00,0.00,0.00,23035.00,8800.00,8800.00,27600.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2004.00,3.00,5.00,1115.00,1008.00,4.00,63106.00,238100070,4/4/03 0:00,2707 N GRAND BLVD,38.6543470,-90.2223140,JeffVanderLou,3.00,,vacant lot,21875.00
15051010036.00,5051.01,50510100300.00,3,LRA,CB 5051-A DELMAR BLVD,100 FT X 140 FT,FOREST PARK & HAYDOCK DELMAR ADDN,"""E-25 FT LOTS 1''""""""""""""'""",5000.00,1.00,0.00,0.00,0.00,0.00,14000.00,21500.00,21500.00,67200.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,0.00,28.00,7.00,1121.00,1000.00,11.00,63108.00,505101036,2/6/01 0:00,5144 DELMAR BLVD,38.6517760,-90.2689680,Central West End,28.00,,vacant lot,14280.00
11881000150.00,1881.00,18810001500.00,3,LRA,C. B. 1881 CASS,100 FT 5 IN X 130 FT,PAGES 2ND ADDN,LOTS 37 THRU 40,5530.00,0.00,0.00,0.00,0.00,0.00,13055.00,8400.00,9400.00,26100.00,3400.00,Area Commercial District,0.00,0.00,0.00,0.00,25000.00,3/4/86 0:00,2003.00,19.00,9.00,1115.00,2015.00,6.00,63113.00,188100150,12/22/97 0:00,3603 CASS AV,38.6485540,-90.2261110,JeffVanderLou,19.00,,vacant lot,12204.00
15214000230.00,5214.00,52140002300.00,3,LRA,C.B. 5214 GRAND AVE,91 FT X 100 FT,LINDELL PARK ADDN,BLOCK 5,5000.00,1.00,0.00,0.00,0.00,0.00,9100.00,4400.00,4400.00,13700.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1992.00,3.00,5.00,1104.00,1004.00,2.00,63107.00,521400230,2/23/88 0:00,3126 N GRAND BLVD,38.6589360,-90.2178710,JeffVanderLou,3.00,,vacant lot,8402.00
15211000280.00,5211.00,52110002800.00,3,LRA,C. B. 5211 UNIVERSITY,62 FT 6 IN X 130 FT,LINDELL PARK 2ND ADDN,BLOCK 2 LOT E-11,5000.00,1.00,0.00,0.00,0.00,0.00,8125.00,2200.00,2200.00,6900.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,8000.00,6/5/79 0:00,2001.00,3.00,5.00,1104.00,1014.00,12.00,63107.00,521100280,3/25/13 0:00,3523 UNIVERSITY ST,38.6559530,-90.2199320,JeffVanderLou,3.00,,vacant lot,7993.00
15211000305.00,5211.00,52110003050.00,3,LRA,C.B. 5211 GRAND,30 FT / 130 FT X 100 FT / IRREG,LINDELL PK ADDN,BLOCK 2 NE-10 & S -10,5000.00,1.00,0.00,0.00,0.00,0.00,7318.00,3500.00,3500.00,11000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2005.00,3.00,5.00,1104.00,1013.00,12.00,63107.00,521100305,3/25/13 0:00,2848 N GRAND BLVD,38.6562840,-90.2197290,JeffVanderLou,3.00,,vacant lot,7861.00
11037000170.00,1037.00,10370001700.00,3,LRA,C. B. 1037 SAMUEL SHEPARD DR,57 FT X 134 FT 3 IN,SCHOOL SEC 16 ADDN,LOT 5,1010.00,1.00,0.00,0.00,0.00,0.00,7652.00,2700.00,2700.00,14200.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,1997.00,19.00,9.00,1211.00,1026.00,1.00,63103.00,103700170,3/25/13 0:00,3111 SAMUEL SHEPARD DR,38.6383170,-90.2232640,Midtown,19.00,,vacant lot,7683.00
12293000220.00,2293.00,22930002200.00,3,LRA,C. B. 2293 GRAND,50 FT X 150 FT PRI SURV ADDN,BOUNDARIES N-HERMAN E-GRAND,S-KANE W-ALLEY,1010.00,1.00,0.00,0.00,0.00,50.00,0.00,590.00,590.00,3100.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2000.00,19.00,9.00,1111.00,1024.00,9.00,63106.00,229300220,3/25/13 0:00,1125 N GRAND BLVD,38.6446400,-90.2284520,Covenant Blu / Grand Center,19.00,,vacant lot,7469.00
15051010200.00,5051.01,50510102000.00,3,LRA,C. B. 5051A DELMAR BLVD,50 FT X 140 FT,DORRIS PL ADDN,LOT E-50 W-51,1010.00,1.00,0.00,0.00,0.00,50.00,0.00,7600.00,7600.00,40000.00,0.00,Area Commercial District,0.00,0.00,0.00,0.00,0.00,,2006.00,28.00,7.00,1121.00,1000.00,11.00,63108.00,505101200,5/10/99 0:00,5050 DELMAR BLVD,38.6514270,-90.2655360,Central West End,28.00,,vacant lot,7076.00
