WKT,HANDLE,PARCEL,PARCELID
"POLYGON ((-90.195754044233894 38.615683089233187,-90.195755023849316 38.615680224945422,-90.196278510863394 38.615811462047404,-90.196277360645027 38.615814287020591,-90.195754044233894 38.615683089233187))",10151000020,20,1510000200
"POLYGON ((-90.19121686112166 38.657731274523996,-90.191402904814097 38.658101747599375,-90.190995518182831 38.658225238236014,-90.190720002150641 38.657944915660615,-90.190692532295955 38.657890213255804,-90.19121686112166 38.657731274523996))",10308030040,40,3080300400
"POLYGON ((-90.191562844838941 38.653783495314599,-90.191295732935728 38.653862502634361,-90.1912729210366 38.653816343449748,-90.191540077837573 38.653741521105488,-90.191562844838941 38.653783495314599))",10333000050,50,3330000500
"POLYGON ((-90.189862247652968 38.647275110487094,-90.189780469455343 38.647300372427644,-90.189730105662434 38.647204361193261,-90.189705257083332 38.647157020971839,-90.18968039815114 38.647109653257857,-90.189768755844298 38.647082684448733,-90.189862247652968 38.647275110487094))",10345000080,80,3450000800
"POLYGON ((-90.189810237484153 38.646961265104181,-90.189330589057477 38.64710061267742,-90.189278431524698 38.646997717889917,-90.189622058026558 38.646897887670704,-90.189759488722927 38.646857962385951,-90.189810237484153 38.646961265104181))",10345000130,130,3450001300
"POLYGON ((-90.194402592399086 38.65186472169102,-90.194463458846272 38.651846581955049,-90.194605387024907 38.652135009178522,-90.194544985868873 38.652153202374294,-90.194402592399086 38.65186472169102))",10359000050,50,3590000500
"POLYGON ((-90.194128829737281 38.651946312023568,-90.194188360485811 38.651928569841175,-90.194332282551514 38.652217266209952,-90.194266643001882 38.652237035453823,-90.194215260976478 38.652134399200214,-90.194220127827819 38.652132874213976,-90.194128829737281 38.651946312023568))",10359000080,80,3590000800
"POLYGON ((-90.194121459071823 38.652069740486866,-90.194129800595135 38.652026808076556,-90.19413259020132 38.652012278539466,-90.194104443240875 38.651953881879287,-90.194128829737281 38.651946312023568,-90.194220127827819 38.652132874213976,-90.194215260976478 38.652134399200214,-90.194266643001882 38.652237035453823,-90.194206504639553 38.652255149529786,-90.194134497484114 38.652098194714121,-90.194121459071823 38.652069740486866))",10359000085,85,3590000850
"POLYGON ((-90.194053685091021 38.652049630717549,-90.194129800595135 38.652026808076556,-90.194121459071823 38.652069740486866,-90.194134497484114 38.652098194714121,-90.194206504639553 38.652255149529786,-90.194165110411774 38.652267617569876,-90.194161243068393 38.652268782707218,-90.19415953476809 38.65226536233299,-90.194053685091021 38.652049630717549))",10359000086,86,3590000860
"POLYGON ((-90.194104443240875 38.651953881879287,-90.19413259020132 38.652012278539466,-90.194129800595135 38.652026808076556,-90.194053685091021 38.652049630717549,-90.194022292096051 38.651978064416888,-90.194104443240875 38.651953881879287))",10359000090,90,3590000900
