WKT,HANDLE,PARCEL
"POLYGON ((586962.907353 1013124.817563,586962.63092499994673 1013123.77353799995035,586812.90323399996851 1013171.0693569999421,586813.228459 1013172.099225,586962.907353 1013124.817563))",10151000020,20
"POLYGON ((588207.612234 1028441.9991849999642,588154.0324399999809 1028576.73672899999656,588270.2093289999757 1028622.102012,588349.22747899999376 1028520.28170299995691,588357.138813 1028500.387008,588207.612234 1028441.9991849999642))",10308030040,40
"POLYGON ((588113.662 1027003.984,588189.843 1027033.014,588196.414 1027016.226,588120.215 1026988.72,588113.662 1027003.984))",10333000050,50
"POLYGON ((588607.326 1024635.44,588630.65 1024644.719,588645.152 1024609.803,588652.307 1024592.587,588659.465 1024575.361,588634.264 1024565.454,588607.326 1024635.44))",10345000080,80
"POLYGON ((588622.567 1024521.196,588759.379 1024572.408,588774.402 1024534.987,588676.388 1024498.298,588637.188 1024483.625,588622.567 1024521.196))",10345000130,130
"POLYGON ((587305.060246031614952 1026302.491245461045764,587287.700454920064658 1026295.827101664850488,587246.8190156375058 1026400.729474439285696,587264.045807793969288 1026407.412616397952661,587305.060246031614952 1026302.491245461045764))",10359000050,50
"POLYGON ((587383.140306452405639 1026332.465892231673934,587366.161510773003101 1026325.947751591098495,587324.710075854323804 1026430.946116337901913,587343.430849981145002 1026438.208270626841113,587358.229004036053084 1026400.879852742655203,587356.841020949534141 1026400.319841530988924,587383.140306452405639 1026332.465892231673934))",10359000080,80
"POLYGON ((587385.094941531540826 1026377.422436118707992,587382.765083471080288 1026361.779574391781352,587381.986131424666382 1026356.485621307976544,587390.09522191376891 1026335.245948673225939,587383.140306452405639 1026332.465892231673934,587356.841020949534141 1026400.319841530988924,587358.229004036053084 1026400.879852742655203,587343.430849981145002 1026438.208270626841113,587360.582643023342825 1026444.862411976442672,587381.336895687854849 1026387.772278992924839,587385.094941531540826 1026377.422436118707992))",10359000085,85
"POLYGON ((587404.473821840016171 1026370.163753689033911,587382.765083471080288 1026361.779574391781352,587385.094941531540826 1026377.422436118707992,587381.336895687854849 1026387.772278992924839,587360.582643023342825 1026444.862411976442672,587372.388500579632819 1026449.442509265849367,587373.491487263469025 1026449.870518359588459,587373.983492412604392 1026448.626537742209621,587404.473821840016171 1026370.163753689033911))",10359000086,86
"POLYGON ((587390.09522191376891 1026335.245948673225939,587381.986131424666382 1026356.485621307976544,587382.765083471080288 1026361.779574391781352,587404.473821840016171 1026370.163753689033911,587413.525940797291696 1026344.131143943057396,587390.09522191376891 1026335.245948673225939))",10359000090,90
"POLYGON ((587369.606600699364208 1026310.257961899624206,587396.663270749500953 1026321.209179991390556,587438.355711384210736 1026215.201829004217871,587411.236040185787715 1026204.47060779761523,587369.606600699364208 1026310.257961899624206))",10359000110,110
"POLYGON ((587330.910072593018413 1026294.594649992533959,587369.606600699364208 1026310.257961899624206,587411.236040185787715 1026204.47060779761523,587372.407510936260223 1026189.106291094794869,587330.910072593018413 1026294.594649992533959))",10359000120,120
"POLYGON ((587246.972299 1026075.087915,587282.81714199995622 1025985.134164,587276.350646328064613 1025976.466422246885486,587270.362102419720031 1025967.461831460241228,587264.869018578552641 1025958.146717757917941,587259.887454564799555 1025948.54831511201337,587255.431974642793648 1025938.694685727823526,587251.51560499996413 1025928.614638,587200.524172 1026056.579228,587246.972299 1026075.087915))",10360000011,11
